,property_id,listing_id,prop_type,latitude,longitude,address,price,price_max,price_min,link,description
4434,9260424298,2960773086,[{type:home,41.799877,-87.623528,5201 S Wabash Ave Unit 2,1750,null,null,https://www.realtor.com/realestateandhomes-detail/5201-S-Wabash-Ave-2_Chicago_IL_60615_M92604-24298,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :950, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4435,9307015671,2960014627,[{type:home,41.845844,-87.625786,2550 S Wabash Ave Apt 205,2979,null,null,https://www.realtor.com/realestateandhomes-detail/2550-S-Wabash-Ave-Apt-205_Chicago_IL_60616_M93070-15671,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :1800, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4436,9197945967,2938589111,[{type:home,41.968098,-87.707542,4746 N Troy St Unit 4746-1,1550,null,null,https://www.realtor.com/realestateandhomes-detail/4746-N-Troy-St-4746-1_Chicago_IL_60625_M91979-45967,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4437,8220948602,2962588842,[{type:home,41.911527,-87.673484,1633 N Honore St Unit 1F,1995,null,null,https://www.realtor.com/realestateandhomes-detail/1633-N-Honore-St-F1_Chicago_IL_60622_M82209-48602,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :500, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4438,9131613698,2960211745,[{type:home,41.900375,-87.707077,1042 N Kedzie Ave Apt 3,2494,null,null,https://www.realtor.com/realestateandhomes-detail/1042-N-Kedzie-Ave-Apt-3_Chicago_IL_60651_M91316-13698,"{ beds :3, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 2 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4439,9642441530,2962589112,[{type:home,41.911533,-87.673492,1633 N Honore St Unit 1R,1995,null,null,https://www.realtor.com/realestateandhomes-detail/1633-N-Honore-St-1R_Chicago_IL_60622_M96424-41530,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :500, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4440,9950067253,2962603900,[{type:home,41.728286,-87.666251,1727 W 91st St Unit 1727-1,1200,null,null,https://www.realtor.com/realestateandhomes-detail/1727-W-91st-St-1727-1_Chicago_IL_60620_M99500-67253,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4441,7619914249,2958914400,[{type:home,41.898198,-87.63171,100 W Chestnut St Apt 2501,2999,null,null,https://www.realtor.com/realestateandhomes-detail/100-W-Chestnut-St-Apt-2501_Chicago_IL_60610_M76199-14249,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :1, garage_min :null, garage_max :null, sqft :1000, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4442,9837954723,2961806947,[{type:home,41.936676,-87.758873,3055 N Lockwood Ave Unit 2N,1500,null,null,https://www.realtor.com/realestateandhomes-detail/3055-N-Lockwood-Ave-2N_Chicago_IL_60641_M98379-54723,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :900, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
4443,9548818175,2961026237,[{type:home,41.99855,-87.659882,6401-6415 N Sheridan Unit TBD2,1797,null,null,https://www.realtor.com/realestateandhomes-detail/6401-6415-N-Sheridan-Unit-TBD2_Chicago_IL_60626_M95488-18175,"{ beds :2, beds_max :null, beds_min :null, baths_min :null, baths_max :null, baths_consolidated : 1 , garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :null, sqft_min :null, name :null, sub_type : condo , type : apartment , year_built :null"
