,property_id,listing_id,prop_type,latitude,longitude,address,price,price_max,price_min,link,description
70,8117198234,2949506100,[{type:home,41.809974,-87.600333,1030 E 47TH ST,null,1995,1995,https://www.realtor.com/realestateandhomes-detail/1030-E-47th-St_Chicago_IL_60653_M81171-98234,"{ beds :null, beds_max :2, beds_min :2, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :575, sqft_min :575, name : 1030 E 47th , sub_type :null, type : apartment , year_built :null"
71,7083128704,2949506226,[{type:home,41.74494,-87.60188,8222 S INGLESIDE AVE,null,825,825,https://www.realtor.com/realestateandhomes-detail/8222-S-Ingleside-Ave_Chicago_IL_60619_M70831-28704,"{ beds :null, beds_max :2, beds_min :1, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :800, sqft_min :650, name : 8222 S Ingleside , sub_type :null, type : apartment , year_built :null"
72,8010898431,2949506165,[{type:home,41.745967,-87.602255,8159 S Drexel Ave,null,835,835,https://www.realtor.com/realestateandhomes-detail/8159-S-Drexel-Ave_Chicago_IL_60619_M80108-98431,"{ beds :null, beds_max :2, beds_min :1, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :775, sqft_min :550, name : 8159 S Drexel , sub_type :null, type : apartment , year_built :null"
73,9670754765,2949506082,[{type:home,41.749947,-87.554985,8001 S MUSKEGON AVE,null,870,870,https://www.realtor.com/realestateandhomes-detail/8001-S-Muskegon-Ave_Chicago_IL_60617_M96707-54765,"{ beds :null, beds_max :1, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :641, sqft_min :626, name : 8001 S Muskegon Ave , sub_type :null, type : apartment , year_built :null"
74,7279861760,2949506240,[{type:home,41.751166,-87.60645,7903 S Evans Ave,null,620,620,https://www.realtor.com/realestateandhomes-detail/7903-S-Evans-Ave_Chicago_IL_60619_M72798-61760,"{ beds :null, beds_max :2, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :850, sqft_min :350, name : 7903 S Evans , sub_type :null, type : apartment , year_built :null"
75,7445948333,2949505871,[{type:home,41.876805,-87.764052,5556 W JACKSON BLVD,null,1050,1050,https://www.realtor.com/realestateandhomes-detail/5556-W-Jackson-Blvd_Chicago_IL_60644_M74459-48333,"{ beds :null, beds_max :4, beds_min :2, baths_min :1, baths_max :2, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :1276, sqft_min :646, name : 5556 W Jackson , sub_type :null, type : apartment , year_built :null"
76,7840520132,2949506141,[{type:home,41.874946,-87.738052,400 S Kilbourn Ave,null,1085,1085,https://www.realtor.com/realestateandhomes-detail/400-S-Kilbourn-Ave_Chicago_IL_60624_M78405-20132,"{ beds :null, beds_max :2, beds_min :1, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :661, sqft_min :421, name : 400 S Kilbourn Ave , sub_type :null, type : apartment , year_built :null"
77,8434373041,2949506233,[{type:home,41.73728,-87.601549,8640 S INGLESIDE AVE,null,880,880,https://www.realtor.com/realestateandhomes-detail/8640-S-Ingleside-Ave_Chicago_IL_60619_M84343-73041,"{ beds :null, beds_max :2, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :550, sqft_min :375, name : 8640 S Ingleside , sub_type :null, type : apartment , year_built :null"
78,9015271253,2949506175,[{type:home,41.749393,-87.599838,8001-09 S Ellis Ave,null,695,695,https://www.realtor.com/realestateandhomes-detail/8001-09-S-Ellis-Ave_Chicago_IL_60619_M90152-71253,"{ beds :null, beds_max :1, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :525, sqft_min :450, name : 8001 S Ellis , sub_type :null, type : apartment , year_built :null"
79,7800131002,2949505951,[{type:home,41.75333,-87.562607,7801 S KINGSTON AVE,null,930,930,https://www.realtor.com/realestateandhomes-detail/7801-S-Kingston-Ave_Chicago_IL_60649_M78001-31002,"{ beds :null, beds_max :2, beds_min :2, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :775, sqft_min :775, name : 7801 S Kingston , sub_type :null, type : apartment , year_built :null"
80,7258806502,2949506197,[{type:home,41.760471,-87.615173,7348 S King Dr,null,945,945,https://www.realtor.com/realestateandhomes-detail/7348-S-King-Dr_Chicago_IL_60619_M72588-06502,"{ beds :null, beds_max :2, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :800, sqft_min :500, name : 7348 S Dr Martin Luther King Jr , sub_type :null, type : apartment , year_built :null"
81,7228888278,2949506194,[{type:home,41.749191,-87.603912,8000 S MARYLAND AVE,null,890,890,https://www.realtor.com/realestateandhomes-detail/8000-S-Maryland-Ave_Chicago_IL_60619_M72288-88278,"{ beds :null, beds_max :2, beds_min :0, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :750, sqft_min :500, name : 8000 S Maryland , sub_type :null, type : apartment , year_built :null"
82,8354093976,2949506214,[{type:home,41.767002,-87.574228,7028 S CLYDE AVE,null,990,990,https://www.realtor.com/realestateandhomes-detail/7028-S-Clyde-Ave-34_Chicago_IL_60649_M83540-93976,"{ beds :null, beds_max :2, beds_min :2, baths_min :1, baths_max :1, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :850, sqft_min :700, name : 7028 S Clyde , sub_type :null, type : apartment , year_built :null"
83,9638178893,2949505863,[{type:home,41.874252,-87.755173,418 S LARAMIE AVE,null,1005,1005,https://www.realtor.com/realestateandhomes-detail/418-S-Laramie-Ave_Chicago_IL_60644_M96381-78893,"{ beds :null, beds_max :3, beds_min :1, baths_min :1, baths_max :2, baths_consolidated :null, garage :null, garage_min :null, garage_max :null, sqft :null, sqft_max :970, sqft_min :585, name : 418 S Laramie , sub_type :null, type : apartment , year_built :null"
