GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AON5E001,AON5E002,AON5E003,AON5E004,AON5E005,AON5E006,AON5E007,AON5E008,AON5E009,AON5E010,AOOCE001,AOOCE002,AOOCE003,AOOCE004,AOOCE005,AOOCE006,AOOCE007,AOOCE008,AOOCE009,AOOCE010,AOOCE011,AOOCE012,AOOCE013,AOOCE014,AOOCE015,AOOCE016,AOOCE017,AOOCE018,AOOCE019,AOOCE020,AOOCE021,AOP8E001,AOP8E002,AOP8E003,AOP8E004,AOP8E005,AOP8E006,AOP8E007,AOP8E008,AOP8E009,AOP8E010,AOP8E011,AOP8E012,AOP8E013,AOP8E014,AOP8E015,AOP8E016,AOP8E017,AOP8E018,AOP8E019,AOP8E020,AOP8E021,AOP8E022,AOP8E023,AOP8E024,AOP8E025,AOQIE001,AOSJE001,AOSJE002,AOSJE003,AOSJE004,AOSJE005,AOSJE006,AOSJE007,NAME_M,AON5M001,AON5M002,AON5M003,AON5M004,AON5M005,AON5M006,AON5M007,AON5M008,AON5M009,AON5M010,AOOCM001,AOOCM002,AOOCM003,AOOCM004,AOOCM005,AOOCM006,AOOCM007,AOOCM008,AOOCM009,AOOCM010,AOOCM011,AOOCM012,AOOCM013,AOOCM014,AOOCM015,AOOCM016,AOOCM017,AOOCM018,AOOCM019,AOOCM020,AOOCM021,AOP8M001,AOP8M002,AOP8M003,AOP8M004,AOP8M005,AOP8M006,AOP8M007,AOP8M008,AOP8M009,AOP8M010,AOP8M011,AOP8M012,AOP8M013,AOP8M014,AOP8M015,AOP8M016,AOP8M017,AOP8M018,AOP8M019,AOP8M020,AOP8M021,AOP8M022,AOP8M023,AOP8M024,AOP8M025,AOQIM001,AOSJM001,AOSJM002,AOSJM003,AOSJM004,AOSJM005,AOSJM006,AOSJM007
"G010","2017-2021","AL",,,"Alabama","01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US01",,,"01","Alabama",4997675,3338590,1324233,21661,70161,1702,86013,155315,45865,109450,4997675,4773016,3241003,1316314,17417,69331,1594,12504,114853,12446,102407,224659,97587,7919,4244,830,108,73509,40462,33419,7043,3413803,43813,578,488,783,1937,4728,3260,5227,16393,16837,35928,61114,84786,88988,65187,864345,176864,214134,514689,303299,563628,251040,54076,41681,54943,4005499,2313616,2298013,2173597,124416,15603,1691883,"Alabama",,3980,3335,1391,1602,377,3910,4493,2541,3642,,413,2076,3018,941,1559,376,1867,3835,1289,3489,413,3390,1294,946,353,72,3265,2493,2342,927,1340,1977,223,165,211,399,688,434,566,1148,1092,1513,2500,2610,2835,2428,7911,3260,4502,5995,4851,5772,4644,1916,1850,377,1780,8825,8669,8587,3443,1127,9003
"G020","2017-2021","AK",,,"Alaska","02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US02",,,"02","Alaska",735951,458520,23721,107531,47213,10766,14254,73946,10294,63652,735951,682347,434515,22787,104399,46455,10500,3589,60102,3352,56750,53604,24005,934,3132,758,266,10665,13844,6942,6902,484382,3675,54,32,144,251,476,430,662,1043,1137,3141,2942,5832,6937,5913,111772,26101,37054,86787,41808,92691,39503,9969,6028,80287,572165,383795,363718,338664,25054,20077,188370,"Alaska",,1719,820,1922,1091,428,1533,2800,1192,2481,,171,1067,769,1705,1038,396,938,2505,831,2279,171,1337,276,622,254,173,1316,1180,786,915,425,501,51,22,86,129,114,174,193,212,265,392,306,637,581,646,2513,1307,1259,2242,1449,2130,1486,667,667,1113,495,2081,2386,2500,1280,931,2102
"G040","2017-2021","AZ",,,"Arizona","04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US04",,,"04","Arizona",7079203,4985729,318827,300862,234495,13979,490290,735021,461736,273285,7079203,4821774,3781665,299877,256947,228292,12623,18441,223929,25540,198389,2257429,1204064,18950,43915,6203,1356,471849,511092,436196,74896,4792007,74688,1044,1478,2862,5562,11452,6837,11092,52903,13413,55156,70266,63281,84043,106383,934136,191362,365859,811770,433004,923339,413353,92301,66423,65913,5650624,3424193,3401906,3210791,191115,22287,2226431,"Arizona",,10875,4448,3623,2772,705,10666,11378,10094,6392,,,2215,3901,2441,2613,610,1532,5058,2044,4936,,10503,1802,2529,803,408,10620,10040,9653,3835,570,2476,302,510,593,675,1043,685,803,2001,1021,2255,2432,2106,3145,2646,8744,3814,5413,6727,5351,9073,5317,2573,2214,387,2102,7423,7579,7197,3619,1167,7444
"G050","2017-2021","AR",,,"Arkansas","05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US05",,,"05","Arkansas",3006309,2227020,458086,17459,46388,10627,87626,159103,70121,88982,3006309,2770308,2123715,455748,13665,45575,10408,6267,114930,33201,81729,236001,103305,2338,3794,813,219,81359,44173,36920,7253,2021290,26523,351,304,552,1679,3901,3382,4129,14482,11322,26566,30737,40357,49307,35129,566668,122064,136067,301826,154675,313527,129009,29370,19363,52123,2382255,1390373,1384596,1310863,73733,5777,991882,"Arkansas",,4549,2316,1112,1083,594,3478,4959,4340,2439,,293,3320,2142,767,1049,569,1397,4032,3288,2176,291,2931,526,810,382,149,3268,2670,2559,932,1171,1473,147,143,193,431,588,578,536,1092,891,1667,1350,1741,2041,1484,5899,2428,2934,3885,3056,5361,3551,1511,1105,458,1257,6169,6273,6350,2564,666,5996
"G060","2017-2021","CA",,,"California","06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US06",,,"06","California",39455353,20553732,2233258,360607,5887396,148278,6036865,4235217,2490857,1744360,39455353,23861566,14109297,2128184,124341,5802086,134692,149096,1413870,146794,1267076,15593787,6444435,105074,236266,85310,13586,5887769,2821347,2344063,477284,26797070,820953,8580,13126,31005,68913,148458,89923,133283,665723,104176,258224,439379,306069,415111,733112,4836799,640355,1577027,3919551,2135865,5855383,2449563,678258,468234,84097,31499704,20129162,19980462,18676721,1303741,148700,11370542,"California",,35545,8611,8270,9676,2645,34850,31554,26473,19332,,,5975,8287,2631,9928,2100,5356,14196,4451,12631,,36097,3837,7712,3352,1574,34488,26370,26263,10610,1124,9875,651,1257,1458,2498,3718,2497,3462,10639,2709,5066,7120,5075,5790,8124,29130,8222,14727,18205,13333,22797,18234,7787,6359,236,4287,22274,22033,21726,10259,3406,23055
"G080","2017-2021","CO",,,"Colorado","08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US08",,,"08","Colorado",5723176,4507448,234065,53143,183391,8192,258867,478070,262707,215363,5723176,4468540,3821828,222572,26070,180192,7357,18010,192511,32189,160322,1254636,685620,11493,27073,3199,835,240857,285559,230518,55041,3937040,48362,521,637,1225,2373,4520,2798,5908,29074,8177,23129,34041,37220,47100,55535,657382,153594,243289,563126,332860,1051023,465071,97490,72585,80184,4606399,3157660,3120868,2975830,145038,36792,1448739,"Colorado",,9599,3088,2176,1949,695,6935,8049,8080,4621,,179,3473,2646,1038,1956,661,1749,3955,2746,3327,179,9356,1185,1866,477,256,6859,7666,7203,3392,1052,2086,173,194,352,418,556,442,754,1703,946,1530,1603,1642,1918,1915,6867,3323,3452,6010,4449,7208,5684,2428,1927,450,1807,7808,7853,8656,3206,1383,7918
"G090","2017-2021","CT",,,"Connecticut","09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US09",,,"09","Connecticut",3605330,2595884,389290,8714,167308,1262,215605,227267,114994,112273,3605330,2995265,2340848,359156,4225,165872,761,18819,105584,23005,82579,610065,255036,30134,4489,1436,501,196786,121683,91989,29694,2515137,33094,481,626,1325,1885,4672,4412,6995,16589,7375,24007,25534,30526,29992,37508,579708,77241,136553,281661,194987,561567,334219,79160,45020,83572,2954661,1950007,1940626,1822995,117631,9381,1004654,"Connecticut",,6140,3778,1010,1745,356,6884,5513,4400,3826,,,2312,2790,586,1740,197,1917,3362,1970,2852,,5638,2723,875,319,271,6446,4474,4082,2475,391,1470,188,231,328,335,756,605,898,1304,855,1423,1762,1489,1487,1587,6148,2703,2969,4344,3823,6125,4462,2070,1695,568,1382,5898,6043,6801,3336,673,5885
"G100","2017-2021","DE",,,"Delaware","10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US10",,,"10","Delaware",981892,645409,215745,3064,39684,383,28095,49512,17378,32134,981892,886614,597040,211387,2084,39398,299,3662,32744,3397,29347,95278,48369,4358,980,286,84,24433,16768,13981,2787,690618,6240,106,122,230,313,466,770,1270,4660,1652,6421,6503,10494,11515,11026,186669,23259,41357,88319,56852,134252,71962,12917,13243,72724,798798,496804,492450,464457,27993,4354,301994,"Delaware",,2690,1814,444,687,121,2185,2358,1431,2057,,,1289,1769,260,672,65,1022,2084,732,2010,,2455,594,322,160,102,1843,1614,1367,814,180,654,68,65,116,132,143,270,379,754,355,769,715,842,957,919,3353,1313,1688,2351,1948,2905,2384,1037,1097,1127,779,3410,3436,3408,1469,636,3460
"G110","2017-2021","DC",,,"District of Columbia","11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US11",,,"11","District of Columbia",683154,276373,305109,1984,27988,359,32484,38857,14262,24595,683154,606172,250396,299716,1003,27522,297,3606,23632,3155,20477,76982,25977,5393,981,466,62,28878,15225,11107,4118,487726,6160,144,147,220,468,812,498,1182,2425,1053,2707,3933,5451,6865,5869,63511,12051,16374,43879,14508,124285,106838,47536,20810,93547,568405,405651,402460,373967,28493,3191,162754,"District of Columbia",,1660,2006,468,672,82,2297,2141,1491,1791,,,1021,1538,180,655,59,961,1728,972,1641,,1512,1079,409,194,53,1981,1520,1205,853,86,795,88,119,127,174,256,227,295,533,276,509,664,739,753,550,2237,897,1150,1844,1122,2953,2596,1971,1237,1718,559,2323,2336,2650,1570,357,2477
"G120","2017-2021","FL",,,"Florida","12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US12",,,"12","Florida",21339762,14449017,3358469,54466,596862,13065,866158,2001725,1406788,594937,21339762,15746672,11217187,3223893,31002,585096,10749,102728,576017,120318,455699,5593090,3231830,134576,23464,11766,2316,763430,1425708,1286470,139238,15349290,248308,5774,3719,7858,14350,31836,25158,40393,118758,58613,121696,182403,226353,244657,352629,3641011,641918,1003417,1995872,1544611,3038293,1253271,356975,191417,61777,17577024,10448290,10377036,9824911,552125,71254,7128734,"Florida",,20614,9653,3100,4102,979,15527,24237,21407,11595,,,6173,8357,1440,3844,796,4791,11036,6461,9420,,19494,5114,2644,1145,669,14388,19568,19106,6133,1557,5369,864,683,982,1362,2239,1735,2208,4592,2483,3828,4271,5068,5928,6917,29750,7835,10652,14505,11742,18998,13022,6779,3743,263,3962,20215,20103,19618,7541,2599,20443
"G130","2017-2021","GA",,,"Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US13",,,"13","Georgia",10625615,5934931,3350903,34928,448181,6894,334875,514903,221633,293270,10625615,9577141,5462673,3309398,13866,444677,5254,44958,296315,37953,258362,1048474,472258,41505,21062,3504,1640,289917,218588,183680,34908,7075856,107120,1575,1209,3276,5858,14195,8672,17581,55124,27099,67846,102318,142834,149971,127311,1598837,326511,405558,1001047,576689,1426415,643718,161767,103325,65030,8385039,5329864,5274596,4983753,290843,55268,3055175,"Georgia",,9904,6794,2577,2754,1173,9173,9398,8114,6617,,603,4618,6215,998,2564,758,4155,6471,3419,5657,604,7681,2930,2275,662,811,7306,7066,7140,2737,2439,3531,402,407,819,754,1225,1061,1406,2579,1672,2495,3142,3541,4860,3184,14720,6228,7255,10162,5980,12247,9353,3678,3169,355,3263,13113,13021,13339,5368,2241,12861
"G150","2017-2021","HI",,,"Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US15",,,"15","Hawaii",1453498,344295,28142,4286,544643,153485,23633,355014,18697,336317,1453498,1294757,310216,26521,2326,534056,142973,3230,275435,3662,271773,158741,34079,1621,1960,10587,10512,20403,79579,15035,64544,1020422,11896,119,308,371,895,1487,1573,2043,7940,2229,5931,6413,9340,9260,14663,246918,27011,61178,148345,112084,226399,83849,24381,15789,88005,1174511,764801,717453,680301,37152,47348,409710,"Hawaii",,2124,1017,700,4380,2261,1898,5337,1448,5531,,,698,919,324,4254,2028,661,4588,633,4619,,1974,426,613,1097,1402,1707,2291,1335,2487,210,770,74,159,135,273,286,303,420,781,299,600,730,824,923,1003,3525,1356,2320,3336,2371,3815,2052,1248,1158,761,707,3772,3856,3917,1373,1245,3901
"G160","2017-2021","ID",,,"Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US16",,,"16","Idaho",1811617,1567799,12242,22799,24616,3016,77835,103310,50399,52911,1811617,1577056,1459942,11392,17174,23902,2519,6507,55620,11458,44162,234561,107857,850,5625,714,497,71328,47690,38941,8749,1185197,11869,324,159,516,1182,1660,1507,1349,8551,2344,8469,10149,15164,19783,21657,253718,60803,96424,206850,117437,231259,79872,19205,14946,63377,1405245,887977,883059,847426,35633,4918,517268,"Idaho",,4232,831,1223,1225,556,3698,3507,3469,2083,,,2227,835,740,1249,397,1204,2355,1925,1699,,3621,270,942,285,344,3669,2526,2691,1242,885,1079,161,67,176,307,427,435,344,847,445,921,872,1232,1269,1072,3684,2296,2707,3362,3063,4571,2896,1328,1215,614,1187,4317,4426,4684,1859,617,4624
"G170","2017-2021","IL",,,"Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US17",,,"17","Illinois",12821813,8699413,1804013,42714,725482,5111,795980,749100,430285,318815,12821813,10571737,7721282,1773138,10358,718559,3048,34562,310790,42791,267999,2250076,978131,30875,32356,6923,2063,761418,438310,387494,50816,8764878,130900,2057,2209,3207,8307,14908,11903,17509,89888,21465,96498,80975,110874,133150,161471,1910784,315398,583547,1177987,722272,1910757,920298,212604,125910,72563,10275978,6705184,6686514,6273473,413041,18670,3570794,"Illinois",,11026,5094,2619,3635,677,12806,11335,8991,6488,,213,2623,4809,752,3656,394,2182,6332,2549,5725,213,10858,2094,2555,863,500,12378,8576,8661,2894,1138,3408,359,403,455,873,1045,1001,1268,2823,1195,2766,2333,2773,3227,3029,13523,4941,6016,10210,6444,10750,9156,3233,3030,319,2858,12932,12852,14871,6328,927,12424
"G180","2017-2021","IN",,,"Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US18",,,"18","Indiana",6751340,5483296,635076,11399,163657,2276,167683,287953,106749,181204,6751340,6256932,5255601,625756,6863,162123,1982,19449,185158,20447,164711,494408,227695,9320,4536,1534,294,148234,102795,86302,16493,4501214,51633,819,1137,1116,2001,3428,3698,4288,18056,10458,62832,55773,81276,90601,73364,1250041,235954,306831,590836,403773,797977,334885,69354,51083,61944,5343229,3416171,3411413,3250923,160490,4758,1927058,"Indiana",,5023,4259,864,2344,286,4920,6794,3948,4731,,210,2523,3947,578,2234,278,1939,4874,1768,4561,211,4641,1348,695,463,163,4556,4440,3959,1771,1348,2123,233,289,368,343,503,535,537,1216,841,1999,1911,2335,2658,2104,8518,3929,4961,6460,5366,7692,5022,2291,1851,284,2139,8911,8909,9413,3905,745,9048
"G190","2017-2021","IA",,,"Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US19",,,"19","Iowa",3179090,2795319,119036,10889,79188,4182,46711,123765,46329,77436,3179090,2976042,2681793,116206,7337,78532,3920,5069,83185,12570,70615,203048,113526,2830,3552,656,262,41642,40580,33759,6821,2119884,19109,341,482,309,902,1535,1875,1873,8139,3578,21390,17036,22524,30173,23114,565056,83817,153208,282218,253485,423852,144056,34880,26932,65429,2523649,1689338,1686696,1620796,65900,2642,834311,"Iowa",,3626,2055,779,1216,339,2501,3572,2791,2497,,53,1559,1925,377,1192,311,937,2547,1382,2312,35,3162,546,604,187,129,2339,2416,2364,850,809,1194,137,147,160,186,270,385,359,870,458,951,920,1042,1383,962,4614,1872,2107,3333,3439,4561,2467,1539,1313,397,1319,5204,5293,5425,2598,458,5291
"G200","2017-2021","KS",,,"Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US20",,,"20","Kansas",2932099,2386766,165291,21657,87946,2196,88787,179456,67886,111570,2932099,2570046,2192497,159382,15363,86670,1784,6941,107409,9899,97510,362053,194269,5909,6294,1276,412,81846,72047,57987,14060,1921951,22280,446,620,711,1206,2741,2044,2919,11615,3993,17812,18319,23127,26489,26971,416830,76509,154495,281106,170483,415201,181958,37562,26514,64521,2299477,1530430,1512063,1450216,61847,18367,769047,"Kansas",,4445,2191,1292,1642,395,3434,4825,3513,3465,,77,1823,1972,735,1547,308,1101,3092,1346,2731,78,3483,874,921,494,197,3214,3358,3022,1433,891,1421,125,283,220,317,511,388,425,876,467,1085,1028,1181,1169,1494,5680,2108,2804,4151,3238,4761,3362,1636,1455,344,1221,5313,5328,5371,1997,1031,5233
"G210","2017-2021","KY",,,"Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US21",,,"21","Kentucky",4494141,3842383,361703,7114,68737,3961,51365,158878,46605,112273,4494141,4319782,3759079,356610,4877,68112,3340,10256,117508,11790,105718,174359,83304,5093,2237,625,621,41109,41370,34815,6555,3053564,34640,251,649,698,1143,4439,2926,5676,13668,14013,67527,55341,67572,62429,45991,803049,197458,205024,422689,263311,461841,232970,56514,33745,55454,3588209,2135988,2121880,2009185,112695,14108,1452221,"Kentucky",,3468,2972,749,1227,599,3012,3819,2655,2691,,525,2121,2801,518,1239,530,1478,3293,1577,2601,525,2534,899,446,187,371,2433,2444,2272,871,1763,1253,93,259,180,256,505,443,604,981,1037,2077,1776,2078,2159,1543,6665,3303,3811,4870,3802,5015,4357,1705,1229,389,1829,7814,7678,7790,3184,638,7832
"G220","2017-2021","LA",,,"Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US22",,,"22","Louisiana",4657305,2805875,1486002,25550,80438,2172,79627,177641,65233,112408,4657305,4408523,2693832,1475549,21492,79562,2017,16965,119106,15162,103944,248782,112043,10453,4058,876,155,62662,58535,50071,8464,3133855,41515,586,433,1039,1118,4268,4035,7940,19666,19635,43895,58146,77982,94316,57021,864695,171509,180321,476091,209561,511447,200435,56205,31996,53571,3679521,2179709,2160206,2013907,146299,19503,1499812,"Louisiana",,4405,3746,1150,1385,611,3923,5068,2982,3878,,334,2308,3820,976,1293,574,2033,4561,1950,3904,333,3619,1299,873,301,126,3530,2300,2268,1012,1395,1957,247,175,264,267,606,549,949,1452,1379,2425,1867,2623,2487,2384,6826,4228,3871,5680,4122,6060,4019,2064,1428,378,1956,8954,8854,8533,3748,1022,9499
"G230","2017-2021","ME",,,"Maine","23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US23",,,"23","Maine",1357046,1261097,19525,7578,14917,228,6800,46901,14871,32030,1357046,1332520,1248581,18834,6953,14789,188,3296,39879,9778,30101,24526,12516,691,625,128,40,3504,7022,5093,1929,994900,6330,239,147,151,169,353,370,634,1255,1753,9848,8551,11323,11192,10292,258100,49282,60706,127557,102198,209253,89039,21308,14850,63182,1134793,713221,711350,681187,30163,1871,421572,"Maine",,1914,847,546,776,80,927,2172,1828,1302,,,1895,841,426,767,71,775,2173,1777,1277,,606,213,289,68,41,483,655,648,367,503,726,124,65,95,107,140,139,178,242,307,763,709,834,728,779,3321,1499,1682,3078,2440,3318,2166,1151,933,651,663,3326,3380,3652,1406,324,3369
"G240","2017-2021","MD",,,"Maryland","24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US24",,,"24","Maryland",6148545,3238671,1833987,17266,397087,2928,326831,331775,113106,218669,6148545,5498188,3035807,1806220,9657,394720,2102,27751,221931,28181,193750,650357,202864,27767,7609,2367,826,299080,109844,84925,24919,4240795,64093,1104,802,1902,4032,7565,6729,9596,24038,13512,28309,43606,56163,56721,73181,884726,129566,257760,524295,290613,934036,578591,134194,115661,91431,4931565,3330279,3296484,3120977,175507,33795,1601286,"Maryland",,6376,5004,1454,2700,527,6970,7191,4399,5893,,,2727,4520,654,2648,245,1996,5855,2714,5335,,5555,2283,1162,488,467,6321,4442,4181,2134,676,2244,223,192,376,668,863,858,1007,1365,920,1356,1908,2147,1813,2790,8904,2892,3648,6615,4381,8167,6771,3350,2733,570,2050,8197,8118,8768,3582,1588,8019
"G250","2017-2021","MA",,,"Massachusetts","25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US25",,,"25","Massachusetts",6991852,5211704,511394,14939,480944,2406,318785,451680,224943,226737,6991852,6127650,4871674,467943,7977,477667,1910,65840,234639,74257,160382,864202,340030,43451,6962,3277,496,252945,217041,150686,66355,4902868,79741,869,1200,2197,4501,9618,14159,13842,23771,16002,41581,44217,55943,53397,72177,998781,138304,243814,495797,376608,1215939,701003,151981,147426,89026,5773906,3882484,3876978,3667019,209959,5506,1891422,"Massachusetts",,8679,4765,1401,2854,465,7436,7956,7105,5930,,,4812,3769,689,2787,373,3267,5262,4160,4244,,6650,2905,1153,630,260,6308,6945,6242,3805,589,2713,214,240,400,563,819,845,1166,1485,1090,2027,1778,2027,2041,2268,9752,3085,4088,6661,4932,8658,7177,3172,3294,495,1782,8294,8309,9319,4919,645,8156
"G260","2017-2021","MI",,,"Michigan","26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US26",,,"26","Michigan",10062512,7715291,1368177,48361,322218,2915,142181,463369,149857,313512,10062512,9522476,7448438,1351051,39462,319960,2546,27336,333683,47456,286227,540036,266853,17126,8899,2258,369,114845,129686,102401,27285,6923132,79529,1140,1315,1125,2175,4487,3834,8788,18473,13347,48566,58093,102579,127537,111913,1698210,273069,530656,1047429,671205,1287856,615472,130123,86211,63202,8136493,5007906,5002960,4692409,310551,4946,3128587,"Michigan",,6195,5406,1672,2418,315,4795,8008,4716,6241,,73,2952,5225,1281,2378,295,2157,6629,2525,5683,73,4696,1562,1143,491,129,4197,4015,3981,1911,945,2506,197,230,248,392,528,516,933,1098,943,1510,1727,2427,3215,2420,9589,3478,5881,8094,6086,9460,6492,2918,2337,242,2044,9788,9762,10465,5949,518,9528
"G270","2017-2021","MN",,,"Minnesota","27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US27",,,"27","Minnesota",5670472,4576758,376406,52695,283382,2338,120011,258882,74480,184402,5670472,5350644,4441935,371249,46371,281572,2047,17042,190428,22168,168260,319828,134823,5157,6324,1810,291,102969,68454,52312,16142,3847501,53273,689,511,1103,1216,2253,2336,3043,11345,4302,25344,21080,31754,39879,49482,801722,117374,252628,535065,447640,944751,354504,87755,58452,77706,4495952,3109813,3105784,2980477,125307,4029,1386139,"Minnesota",,3905,3182,1388,2247,453,4352,4931,2912,4903,,45,2343,3246,1056,2242,401,1966,4306,1844,4305,42,3131,775,762,400,138,3663,2738,2414,1713,974,2067,199,149,225,371,380,427,436,1015,477,1079,1050,1307,1287,1722,6852,2091,3243,4572,4261,6450,4123,2509,2135,350,1624,5947,5959,6240,2941,622,6051
"G280","2017-2021","MS",,,"Mississippi","28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US28",,,"28","Mississippi",2967023,1701989,1113414,13357,29092,1129,38053,69989,20161,49828,2967023,2871380,1661874,1109577,11587,28758,993,6743,51848,5151,46697,95643,40115,3837,1770,334,136,31310,18141,15010,3131,1974105,25884,368,248,507,1034,2934,3356,4136,11323,12703,29707,38105,53393,61216,38608,469188,119029,121769,313875,207794,280355,127528,29987,21058,49111,2344417,1345038,1331967,1240790,91177,13071,999379,"Mississippi",,2486,2617,734,1021,420,2426,2938,1996,2670,,1417,1338,2821,482,986,413,1196,2688,1117,2620,1418,2131,1229,656,181,71,2002,1712,1499,659,1405,1386,140,131,242,298,513,497,465,749,960,1353,1710,2329,2318,1743,6044,3094,3167,5417,3692,5368,3371,1421,1511,447,1377,5943,6001,6305,3055,835,5897
"G290","2017-2021","MO",,,"Missouri","29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US29",,,"29","Missouri",6141534,4930466,695678,19904,123406,8468,84084,279528,96321,183207,6141534,5869968,4800763,689839,15275,122395,7851,16775,217070,46229,170841,271566,129703,5839,4629,1011,617,67309,62458,50092,12366,4187819,38307,828,698,492,1048,1889,2175,3200,8741,8873,49355,46521,72280,79567,63565,1083713,192888,302293,603260,342927,789957,363092,78069,54081,61043,4910777,3104195,3084786,2945966,138820,19409,1806582,"Missouri",,4931,3059,1073,1924,634,3316,6149,4461,4069,,231,3283,2942,823,1904,553,1649,4743,3053,3641,232,3113,916,679,303,210,2834,2897,2765,1224,1553,1557,259,180,169,227,340,367,486,665,845,1677,1808,2149,2512,2217,9253,3240,4276,6397,4198,7788,5445,2584,1822,316,1883,6948,6950,7379,3178,1109,6863
"G300","2017-2021","MT",,,"Montana","30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US30",,,"30","Montana",1077978,938223,6236,65452,8972,581,10155,48359,13846,34513,1077978,1034101,916991,5339,62967,8802,565,2506,36931,5728,31203,43877,21232,897,2485,170,16,7649,11428,8118,3310,746462,3112,67,84,63,4,116,152,198,727,758,6356,4372,7652,9508,8991,172411,35085,52561,121909,71110,166825,57507,15666,11228,60560,872599,552144,548944,526641,22303,3200,320455,"Montana",,1741,696,1255,543,123,1126,1992,1223,1513,,145,1093,417,1142,542,124,658,1564,897,1299,143,1091,548,464,92,28,861,954,760,521,797,425,44,52,49,6,58,69,79,159,196,653,435,602,668,703,2743,1326,1761,2573,2029,3049,1797,1091,804,730,815,2833,2829,3088,1119,307,3021
"G310","2017-2021","NE",,,"Nebraska","31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US31",,,"31","Nebraska",1951480,1630376,93358,17937,48379,1175,60041,100214,45055,55159,1951480,1726787,1515645,91326,13017,47885,980,3899,54035,5420,48615,224693,114731,2032,4920,494,195,56142,46179,39635,6544,1275315,19563,273,547,587,1225,1727,1397,1462,8512,2272,10377,10935,12718,16400,17611,281323,45022,97343,188989,136857,274664,103385,24415,17711,66644,1519415,1052366,1046463,1011989,34474,5903,467049,"Nebraska",,3382,1767,1183,1041,273,2900,3426,2562,2259,,153,978,1661,655,990,193,784,1956,687,1799,157,3304,469,995,224,143,2977,2735,2563,1063,635,1410,110,204,228,268,379,297,370,841,413,708,726,781,999,941,3677,1202,1995,3169,2093,3331,2163,1013,1003,429,980,2959,3037,3360,1491,497,2938
"G320","2017-2021","NV",,,"Nevada","32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0400000US32",,,"32","Nevada",3059238,1799601,284412,37850,255094,21810,345215,315256,165941,149315,3059238,2161823,1442883,273070,23229,249400,19821,13613,139807,17122,122685,897415,356718,11342,14621,5694,1989,331602,175449,148819,26630,2116718,40475,611,803,1176,2801,5476,3766,6485,28575,5944,16911,27096,29192,41586,63863,497592,89996,161676,359700,181391,359703,134479,36237,21184,65686,2443108,1549597,1538959,1429447,109512,10638,893511,"Nevada",,7428,2959,1697,2962,913,7187,7097,6127,4622,,,2401,2632,839,2839,674,1582,4864,2140,4296,,7382,1221,1578,862,607,6936,5973,6124,1870,634,2056,185,221,418,524,556,441,832,1558,690,1173,1507,1519,2162,2400,5673,2923,3548,4385,3989,4158,3083,1484,1132,488,1471,5060,5099,5211,2680,984,4880
